from_acct,from_acct_type,to_acct,to_acct_type,is_self_txn,txn_amt,txn_date,txn_time,currency_type,channel_type
73e878a90a6cf282ec5d8ec5f46f848c281db25a85666e5a75e63b4b4c8a392a,01,ec184bc0202335de44e78d1ed4f7c9052ade66fcd79b9bc38344dce770ebb518,01,N,30500.0,33,13:00:00,TWD,03
070418cdd5c742f7b1ee369f956bc57022e588b4123f7a98d2fd6bfd2807e2c4,01,12f2143d1684da5bd8c1547dc20a453750cae71696a4a2d5db953ec89bd1b769,02,UNK,235.0,55,02:15:00,TWD,03
b93c3ab8bcf54c59dda4241e85764a835fd61237ed03c54f09a23b8da986e1d9,01,e77ba59964f98c33f252346b6eee683fce59479475553ef0f1d2a2465b7cd9f2,02,UNK,1050.0,48,06:15:00,TWD,03
d4681448752ef972fc128ec888f459d46121f768bbc6b0d235050879402a962b,01,f6adc32d4f60a22fb0d7bd1efbb704d4dc11ade01951a964685f5173943dcd6c,01,N,19500.0,52,22:20:00,TWD,UNK
d080817d6fb8868a478e0a83e45b82f70ab113135f9cb187e485eb2a75c7638d,01,d47df8de5770d392d6a5b4acf9c28051d5e2ed4489e8e0bf246ca1756e0bbb5e,02,UNK,4050.0,15,13:40:00,TWD,03
a16dd859b0e689a4727439196e7f74d55962ba06189773e09065e0ab11474829,01,edb798469d613bb11201963883b5749e681bd286a64758c6d9a6b9acbf293926,02,UNK,50500.0,98,11:15:00,TWD,03
c1dbb17fe8d95b3b58b21bc4420808cb36bc1dfe2d3367ce36c64d191598daea,01,4220f38d0f7efba8bec8bd8f2fcef9de3dfbc9ae33a0b333e29acc5f82c3be80,01,N,5050.0,37,13:10:00,TWD,03
0bb25168b959d82cfeecb5e437f28c1ad6aab2fdc7176283878a6d2645ee1936,01,b886303b45bd03261ffff2f6b4943924eaf3bfebf2797756e3208bd72992941c,02,UNK,1050.0,43,19:10:00,TWD,03
02d031b4c7182b98e176ae9ca6505c08468e800f74b581885f2fa4b177179079,01,7b768ea96c6a713e4bceae8d9a294888be41af09d0c5e6773775544dfefa0623,02,UNK,10500.0,65,19:30:00,TWD,03
b63583ebbc8f617c1d9f75c49728fd792fbe31c19cb4f7606f4e1e9dffbb8d8f,01,750df72ff5b1b0934fc6c2619fc54b48f54a5cb11bc7a1418125f1049aa44428,02,UNK,235000.0,10,14:35:00,TWD,01
c77453c83e80463c73cc0881d8f9b9071394de688d524f6b33299c03559a5c37,01,d112476e789d55a99cd0fb56b680595fab467ee7d38317d5bac4b5fe240e3a23,02,UNK,895.0,35,08:45:00,TWD,03
b9441657cf0387bdce37fe4992adb2a8c6407cfcfdc356e2595554f76028eeae,01,ad65819b9abfc4030f4b8fca6c192b1621b40093354f727d1cba38a1e186652b,02,UNK,215.0,12,14:55:00,TWD,03
85a4bd41a427ee54845ff78374009963d791bfa4ad3c88252a03998ec7d634b5,01,1d8145442d644c653ffd5f63cdf0058c75ff47172a66720f149929b53c06cc93,02,UNK,9950.0,7,00:20:00,TWD,03
ea58ea0ef4f2dfaba2668b9f551a55845a9d7872a9b6666c43d3c36b1b67159c,01,dfd0015558588a0a41b5e55b1a51ae7844084b7ce14e1edd2c897512153e3e99,02,UNK,1250.0,77,13:15:00,TWD,03
8a986c8022f566c60780c428a9bcd1adc13c1ba8b0320bbe032541ab380f218b,01,541dace04e3bc5f8c142237b7d5555f7c8efed72517d8ef959485cb8bbf19b72,02,UNK,47500.0,100,12:55:00,TWD,03
a0d645682c2be6598d0740a867bd7c28b1bef0be6c8cc44701d8ece5488f7371,01,0ea6e9e93e96c9b10fbafaa7b75070d77ecc4615f4579c71082ce99baa596b66,02,UNK,10500.0,2,17:30:00,TWD,03
7d272d8f787b7cd95f6fb5f056131668e878ed8c82411078bb927287a2ef6ea0,01,c1e9a8537fd11f0ea3183a9753387e3e91408f1c079a8001b06872163ebcafbf,02,UNK,13500.0,38,23:25:00,TWD,03
